id	分類	リスト	読み	許容表記	指示
L01	長文	A	きのうはあさからあめがふっていたので、でかけるのをやめていえでほんをよみながらゆっくりすごしました。	昨日は朝から雨が降っていたので、出かけるのをやめて家で本を読みながらゆっくり過ごしました。	-
L02	長文	B	らいしゅうのかようびまでにほうこくしょをまとめて、ちーむのみんなにかくにんしてもらうよていです。	来週の火曜日までに報告書をまとめて、チームのみんなに確認してもらう予定です。|来週の火曜日までに報告書をまとめて、チームの皆に確認してもらう予定です。	-
L03	長文	C	えきまえにあたらしいぱんやができたので、こんどのやすみにともだちといっしょにいってみようとおもう。	駅前に新しいパン屋ができたので、今度の休みに友達と一緒に行ってみようと思う。|駅前に新しいパン屋が出来たので、今度の休みに友達と一緒に行ってみようと思う。	-
L04	長文	A	このあぷりはせっていをかえなくてもすぐにつかえるので、はじめてのひとにもすすめやすいとかんじました。	このアプリは設定を変えなくてもすぐに使えるので、初めての人にも勧めやすいと感じました。|このアプリは設定を変えなくてもすぐに使えるので、初めての人にも薦めやすいと感じました。|このアプリは設定を変えなくてもすぐに使えるので、初めての人にもすすめやすいと感じました。	-
L05	長文	B	やまのうえからみたけしきはとてもきれいで、しゃしんをなんまいとってもあきることがなかった。	山の上から見た景色はとても綺麗で、写真を何枚撮っても飽きることがなかった。|山の上から見た景色はとてもきれいで、写真を何枚撮っても飽きることがなかった。	-
L06	長文	C	しゅくだいがおわったらゆうはんのじゅんびをてつだって、そのあとでえいがをいっぽんみるつもりです。	宿題が終わったら夕飯の準備を手伝って、その後で映画を一本見るつもりです。|宿題が終わったら夕飯の準備を手伝って、そのあとで映画を一本見るつもりです。|宿題が終わったら夕飯の準備を手伝って、その後で映画を一本観るつもりです。|宿題が終わったら夕飯の準備を手伝って、そのあとで映画を一本観るつもりです。	-
C01	過去訂正	A	かのじょはこうえんにいった。	彼女は講演に行った。	読みを句点まで入力してから「講演」を直す
C02	過去訂正	B	らいげつからいどうします。	来月から異動します。	読みを句点まで入力してから「異動」を直す
C03	過去訂正	C	かれのかいとうをよんだ。	彼の解答を読んだ。	読みを句点まで入力してから「解答」を直す
C04	過去訂正	A	あんぜんをほしょうする。	安全を保障する。	読みを句点まで入力してから「保障」を直す
C05	過去訂正	B	こうせいをかくにんする。	校正を確認する。	読みを句点まで入力してから「校正」を直す
C06	過去訂正	C	しめいをかくにんした。	指名を確認した。	読みを句点まで入力してから「指名」を直す
Q01	句点なし	A	あしたいく	明日行く|あした行く	句点を入れず、改行キーで終える
Q02	句点なし	B	りょうかいです	了解です	句点を入れず、改行キーで終える
Q03	句点なし	C	いまえきについた	今駅に着いた	句点を入れず、改行キーで終える
Q04	句点なし	A	おつかれさまでした	お疲れ様でした|お疲れさまでした	句点を入れず、改行キーで終える
Q05	句点なし	B	あとででんわするね	後で電話するね|あとで電話するね	句点を入れず、改行キーで終える
Q06	句点なし	C	ありがとうたすかった	ありがとう助かった	句点を入れず、改行キーで終える
E01	英語混在	A	きょうのmeetingはonlineです。	今日のmeetingはonlineです。	英単語は英字配列で入力する
E02	英語混在	B	このfileをsaveしてください。	このfileをsaveしてください。|このfileをsaveして下さい。	英単語は英字配列で入力する
E03	英語混在	C	OSのせっていをひらく。	OSの設定を開く。	英字は英字配列で入力する
E04	英語混在	A	reviewがおわったらmergeします。	reviewが終わったらmergeします。	英単語は英字配列で入力する
E05	英語混在	B	Helloとあいさつした。	Helloと挨拶した。|Helloとあいさつした。	英単語は英字配列で入力する
E06	英語混在	C	USBけーぶるをつなぐ。	USBケーブルをつなぐ。|USBケーブルを繋ぐ。	英字は英字配列で入力する
